query_id,target_uid,old_delta,repaired_delta,repaired_rank_both_worlds
q00_0,2.25.240108126111143576128066953489739505886,0.5202451397953622,0.0,67
q00_0,2.25.268875504419932871485738076452894836024,0.4758174730229243,0.0,139
q00_1,2.25.240108126111143576128066953489739505886,0.4719763198282509,0.0,23
q00_1,2.25.268875504419932871485738076452894836024,0.4379047905074337,0.0,43
q01_0,2.25.210867959714533923015115620170836200787,0.5408486391676793,0.0,166
q01_0,2.25.302830995911971887822964370897337049722,0.5918315450952454,0.0,130
q01_1,2.25.210867959714533923015115620170836200787,0.397673886684293,0.0,42
q01_1,2.25.302830995911971887822964370897337049722,0.48907946237283545,0.0,30
q02_0,2.25.188231905279461340148690846979339943166,0.47738419108559493,0.0,38
q02_0,2.25.208698501679374832571302970075798145639,0.4754824831105423,0.0,145
q02_1,2.25.188231905279461340148690846979339943166,0.6598582165343508,0.0,66
q02_1,2.25.208698501679374832571302970075798145639,0.6316812158905406,0.0,179
q03_0,2.25.147465940691073164590910230946981678776,0.4490840695230755,0.0,147
q03_0,2.25.192904810320283060309271378457366320781,0.41439167054729126,0.0,62
q03_1,2.25.147465940691073164590910230946981678776,0.6038357855294162,0.0,148
q03_1,2.25.192904810320283060309271378457366320781,0.6126023284084746,0.0,184
q04_0,2.25.121986828056644836423302539512783470397,0.5784193973199349,0.0,21
q04_0,2.25.212255342782314007956453978669618215796,0.4929146650444594,0.0,29
q04_1,2.25.121986828056644836423302539512783470397,0.6091199893244121,0.0,68
q04_1,2.25.212255342782314007956453978669618215796,0.5503818536722187,0.0,142
q05_0,2.25.259927255130172698813655968228342762880,0.5597184146565107,0.0,44
q05_0,2.25.8289018021357190813843531369929469764,0.634957241013164,0.0,22
q05_1,2.25.259927255130172698813655968228342762880,0.46764908326758475,0.0,69
q05_1,2.25.8289018021357190813843531369929469764,0.5324859823446234,0.0,30
q06_0,2.25.167806107515397040986524405796187307863,0.5636508706622207,0.0,123
q06_0,2.25.177917566951489443602927634663744103518,0.5204793955175488,0.0,105
q06_1,2.25.167806107515397040986524405796187307863,0.37563867916090243,0.0,23
q06_1,2.25.177917566951489443602927634663744103518,0.33582166951723846,0.0,33
q07_0,2.25.185781655475168378248601637910929562092,0.5407503070600302,0.0,130
q07_0,2.25.247932211881485645990359291157463590508,0.5458851039349633,0.0,50
q07_1,2.25.185781655475168378248601637910929562092,0.3384622344560918,0.0,74
q07_1,2.25.247932211881485645990359291157463590508,0.36704719161206795,0.0,24
q08_0,2.25.46343238845265954369528609868357875911,0.3860225380347071,0.0,99
q08_0,2.25.71131804050598911978370172543269531142,0.4024041615293822,0.0,37
q08_1,2.25.46343238845265954369528609868357875911,0.5024628469974659,0.0,127
q08_1,2.25.71131804050598911978370172543269531142,0.5261768124307357,0.0,37
q09_0,2.25.234209079404997283897085744706418007413,0.5328389851171106,0.0,38
q09_0,2.25.66177485377254415451422514245456832872,0.4345684181489271,0.0,22
q09_1,2.25.234209079404997283897085744706418007413,0.6035182879575492,0.0,26
q09_1,2.25.66177485377254415451422514245456832872,0.5794912771950094,0.0,54
q10_0,2.25.154690975090984086708052046812709290611,0.4488223788315716,0.0,47
q10_0,2.25.66347504822345087829209917069002563388,0.41697025395821025,0.0,67
q10_1,2.25.154690975090984086708052046812709290611,0.7184324922800812,0.0,47
q10_1,2.25.66347504822345087829209917069002563388,0.6558611155273555,0.0,171
q11_0,2.25.279761308015490080871580297537135760467,0.5072032371729129,0.0,42
q11_0,2.25.339735475301520068256612873754362684222,0.5858705592899636,0.0,20
q11_1,2.25.279761308015490080871580297537135760467,0.6543218734166543,0.0,109
q11_1,2.25.339735475301520068256612873754362684222,0.7076417279676396,0.0,20
